Ticker,Description,fLK+lF,Yahoo_Ticker
ZTIP,BMO Short-Term US TIPS Index ETF,$40.45 M,ZTIP.TO
INAI,CI Morningstar Global Next Gen AI Index ETF,$40.28 M,INAI.TO
NVDH,Harvest NVIDIA High Income Shares ETF,$40.06 M,NVDH.TO
RUQR,RBC Target 2029 U.S. Corporate Bond ETF,$39.97 M,RUQR.TO
ZXLV,BMO SPDR Health Care Select Sector Index ETF,$39.83 M,ZXLV.TO
IGAF,IA Clarington Loomis Global Allocation Fund ETF,$39.59 M,IGAF.TO
HCON,Global X Conservative Asset Allocation ETF,$39.57 M,HCON.TO
MCSB,Mackenzie Canadian Short Term Fixed Income ETF,$39.35 M,MCSB.TO
ZWGD,BMO Covered Call Spread Gold Bullion ETF,$39.34 M,ZWGD.TO
MAYB.F,First Trust Vest U.S. Equity Buffer ETF - May,$39.03 M,MAYB-F.TO
XMC.U,iShares S&P U.S. Mid-Cap Index ETF,$28.05 M,XMC-U.TO
RPS,Purpose Canadian Preferred Share Fund,$38.75 M,RPS.NE
FGCV,Fidelity Global Concentrated Value Fund ETF,$38.60 M,FGCV.TO
GIGF,Guardian i3 Global Quality Growth ETF,$38.52 M,GIGF.TO
ZUQ.U,BMO MSCI USA High Quality Index ETF,$27.83 M,ZUQ-U.TO
RID.U,RBC Quant EAFE Dividend Leaders ETF,$27.75 M,RID-U.TO
QDXH,Mackenzie International Equity Index ETF,$38.20 M,QDXH.TO
MUSD.U,Evolve US Premium Cash Management Fund ETF,$27.55 M,MUSD-U.TO
HEQL,Global X Enhanced All-Equity Asset Allocation ETF,$37.76 M,HEQL.TO
YMET,META (META) Yield Shares Purpose ETF,$37.61 M,YMET.NE
DXCO,Dynamic Credit Opportunities Fund ETF,$37.44 M,DXCO.TO
GLCL,Global X Enhanced Gold Producer Equity Covered Call ETF,$37.43 M,GLCL.TO
HGRW,Global X Growth Asset Allocation ETF,$37.38 M,HGRW.TO
DXRE,Dynamic Active Real Estate ETF,$37.23 M,DXRE.TO
BBBB,Brompton Wellington Square Investment Grade CLO ETF,$37.03 M,BBBB.TO
RCNS,RBC Conservative Bond Pool ETF,$36.98 M,RCNS.NE
BCCC,Global X Bitcoin Covered Call ETF (CA),$36.90 M,BCCC.NE
LIFE.B,Evolve Global Healthcare Enhanced Yield ETF,$36.84 M,LIFE-B.TO
SGRD,First Trust Nasdaq Clean Edge Smart Grid Infrastructure ETF,$36.74 M,SGRD.TO
HND,BetaPro Natural Gas -2x Daily Bear ETF,$36.65 M,HND.TO
CUTL,CI Utilities Giants Covered Call ETF,$36.45 M,CUTL.TO
LLYH,Harvest Eli Lilly High Income Shares ETF,$36.44 M,LLYH.TO
FCRU,Franklin U.S. Core Equity Fund ETF Series Units,$36.31 M,FCRU.TO
RUDC,RBC U.S. Dividend Covered Call ETF,$36.31 M,RUDC.TO
ZWB.U,BMO Covered Call Canadian Banks ETF,$26.22 M,ZWB-U.TO
BXF,First Asset 1-5 Year Laddered Government Strip Bond Index ETF,$36.22 M,BXF.TO
ZGLD.U,BMO Gold Bullion ETF,$26.06 M,ZGLD-U.TO
TRVL,Harvest Travel & Leisure Index ETF,$35.96 M,TRVL.TO
ZPH,BMO US Put Write ETF,$35.86 M,ZPH.TO
XAW.U,iShares Core MSCI All Country World ex Canada Index ETF,$25.65 M,XAW-U.TO
CASH.L,Global X High Interest Savings ETF,$35.25 M,CASH-L.TO
ZLD,BMO Low Volatility International Equity ETF,$34.87 M,ZLD.TO
NBND,Ninepoint Diversified Bond Fund,$34.70 M,NBND.TO
HBTA,Humilis North American Tactical Equity Fund ETF,$34.65 M,HBTA.TO
SQQQ,BetaPro -3x Nasdaq-100 Daily Leveraged Bear Alternative ETF,$34.46 M,SQQQ.TO
MBNK,Mulvihill Canadian Bank ETF,$34.42 M,MBNK.TO
JPST,JPMorgan US Ultra-Short Income Active ETF,$34.40 M,JPST.TO
YUNH,UnitedHealth Group (UNH) Yield Shares Purpose ETF,$34.37 M,YUNH.NE
HBND.U,Hamilton U.S. Bond Yield Maximizer ETF,$24.85 M,HBND-U.TO
RGBM,Return Stacked Global Balanced & Macro ETF,$34.35 M,RGBM.TO
HBIL.U,Hamilton U.S. T-Bill YIELD MAXIMIZER ETF,$24.79 M,HBIL-U.TO
FCRR,Fidelity U.S. Dividend for Rising Rates Index ETF,$34.27 M,FCRR.TO
CRHI,Ninepoint CNR HighShares ETF,$34.06 M,CRHI.TO
TEC.U,TD Global Technology Leaders Index ETF,$24.35 M,TEC-U.TO
FCUH,Fidelity U.S. High Dividend Currency Neutral Index ETF,$33.46 M,FCUH.TO
NXF.B,CI Energy Giants Covered Call ETF,$33.41 M,NXF-B.TO
CMCL,Global X Enhanced All-In-One Commodity Producers Equity Covered Call ETF,$33.39 M,CMCL.TO
COMM,BMO Global Communications Index ETF,$33.39 M,COMM.TO
FGEB,Fidelity Global Equity+ Balanced Fund,$33.19 M,FGEB.TO
SHHI,Ninepoint Shopify HighShares ETF,$33.14 M,SHHI.TO
PMNT,PIMCO Global Short Maturity Fund (Canada) ETF,$33.10 M,PMNT.TO
RUQO,RBC Target 2026 U.S. Corporate Bond ETF,$33.07 M,RUQO.TO
QCH,Mackenzie China A-Shares CSI 300 Index ETF,$32.77 M,QCH.NE
MALX,Mackenzie GQE US Alpha Extension ETF,$32.76 M,MALX.TO
APLY,Apple (AAPL) Yield Shares Purpose ETF,$32.65 M,APLY.NE
XDU.U,iShares Core MSCI US Quality Dividend Index ETF,$23.60 M,XDU-U.TO
ZTS.U,BMO Short-Term US Treasury Bond Index ETF,$23.35 M,ZTS-U.NE
OPPS,Manulife Alternative Opportunities Fund,$32.27 M,OPPS.NE
SDVY,First Trust SMID Cap Rising Dividend Achievers ETF (CA),$32.11 M,SDVY.NE
XMTM,iShares MSCI USA Momentum Factor Index ETF,$32.02 M,XMTM.TO
HGR,Harvest REIT Leaders Income ETF,$31.95 M,HGR.TO
GUTB.U,Guardian Ultra-Short U.S. T-Bill Fund,$23.03 M,GUTB-U.TO
AMZH,Harvest Amazon High Income Shares ETF,$31.84 M,AMZH.TO
EDGE,Evolve Innovation Index Fund ETF,$31.72 M,EDGE.TO
EQLT,CI S&P/TSX 60 Equal Weight Index ETF,$31.56 M,EQLT.TO
HRIF,Harvest Diversified Equity Income ETF,$31.45 M,HRIF.TO
ZGIN,BMO Global Innovators Fund Active ETF Series,$31.36 M,ZGIN.NE
INOC,Global X Inovestor Canadian Equity Index ETF,$31.13 M,INOC.TO
STPL,BMO Global Consumer Staples Hedged to CAD Index ETF,$30.96 M,STPL.TO
FBGO,Franklin Brandywine Global Income Optimiser Fund,$30.79 M,FBGO.TO
ZPR.U,BMO Laddered Preferred Share Index ETF,$22.13 M,ZPR-U.TO
FMAE,Fidelity Multi-Alt Equity Fund ETF,$30.55 M,FMAE.TO
INCM.B,Accelerate Diversified Credit Income Fund,$30.54 M,INCM-B.TO
CGMU,MegaLong (3X) Canadian Gold Miners Daily Leveraged Alternative ETF,$30.37 M,CGMU.TO
CPLS,CIBC Core Plus Fixed Income Pool ETF,$30.30 M,CPLS.TO
FLVC,Franklin Canadian Low Volatility High Dividend Index ETF,$30.22 M,FLVC.NE
CNV,Franklin Conservative Income ETF Portfolio ETF,$29.88 M,CNV.TO
YAMD,AMD (AMD) Yield Shares Purpose ETF,$29.74 M,YAMD.NE
TECI,TD Global Technology Innovators Index ETF,$29.62 M,TECI.TO
XEB,iShares J.P. Morgan USD Emerging Markets Bond Index ETF,$29.57 M,XEB.TO
RUQT,RBC Target 2031 U.S. Corporate Bond ETF,$29.51 M,RUQT.TO
RLST,RBC Life Science and Technology Fund,$29.44 M,RLST.NE
DISC,BMO Global Consumer Discretionary Hedged to CAD Index ETF,$29.37 M,DISC.TO
SHPE,Harvest Shopify Enhanced High Income Shares ETF,$29.27 M,SHPE.TO
ETHH.U,Purpose Ether ETF,$21.15 M,ETHH-U.TO
TSTX,Global X 1-3 Year U.S. Treasury Bond Index ETF,$29.25 M,TSTX.TO
XINT,iShares Core MSCI All-International Equity Index ETF,$29.05 M,XINT.TO
HQD,BetaPro NASDAQ-100 -2x Daily Bear ETF,$28.73 M,HQD.TO
SOLL,Purpose Solana ETF,$28.76 M,SOLL.TO
SLVX,Global X Silver Miners Index ETF,$28.73 M,SLVX.TO
FLVU,Franklin U.S. Low Volatility High Dividend Index ETF (CA),$28.65 M,FLVU.NE
EARN,Evolve Active Global Fixed Income Fund ETF,$28.32 M,EARN.TO
CHQQ,Global X China Hang Seng TECH Index ETF,$28.32 M,CHQQ.TO
ZXLK,BMO SPDR Technology Select Sector Index ETF,$28.30 M,ZXLK.TO
GCFE,Guardian Canadian Focused Equity Fund,$28.20 M,GCFE.TO
BGU.U,Bristol Gate Concentrated US Equity ETF,$20.38 M,BGU-U.TO
CCDC,CIBC Canadian High Dividend Covered Call ETF,$28.10 M,CCDC.TO
ZEQT.T,BMO All-Equity ETF,$28.06 M,ZEQT-T.TO
XHAK,iShares Cybersecurity and Tech Index ETF,$28.00 M,XHAK.TO
XCLN,iShares Global Clean Energy Index ETF,$27.86 M,XCLN.TO
UMNY.U,CI U.S. Money Market ETF,$20.04 M,UMNY-U.TO
FHQ,First Trust AlphaDEX U.S. Technology Sector Index ETF,$27.63 M,FHQ.TO
CBIN,CI Balanced Income Asset Allocation ETF,$27.19 M,CBIN.TO
ESGF,BMO ESG US Corporate Bond Hedged to CAD Index ETF,$27.17 M,ESGF.TO
RTEC,RBC Global Technology Fund,$27.04 M,RTEC.NE
ZSML.F,BMO S&P US Small Cap Index ETF,$26.91 M,ZSML-F.TO
DIVS,Evolve Active Canadian Preferred Share Fund ETF,$26.89 M,DIVS.TO
KNGC,Brompton Canadian Cash Flow Kings ETF,$26.84 M,KNGC.TO
IMAX,Hamilton International Equity YIELD MAXIMIZER ETF,$26.76 M,IMAX.TO
MBAP,Manulife Balanced ETF Portfolio,$26.68 M,MBAP.TO
TDHI,Ninepoint TD HighShares ETF,$26.67 M,TDHI.TO
BITI,BetaPro Inverse Bitcoin ETF - CAD,$26.66 M,BITI.TO
PZW,CI Invesco RAFI Global Small-Mid ETF,$26.43 M,PZW.TO
RYHI,Ninepoint Royal Bank HighShares ETF,$26.44 M,RYHI.TO
CGDV,CI Global Minimum Downside Volatility Index ETF,$26.43 M,CGDV.TO
BTCY.B,Purpose Bitcoin Yield ETF,$26.34 M,BTCY-B.TO
XAGG.U,iShares U.S. Aggregate Bond Index ETF,$19.02 M,XAGG-U.TO
ONEC,Accelerate OneChoice Alternative Portfolio ETF,$26.29 M,ONEC.TO
BAAA.U,Brompton Wellington Square AAA CLO ETF,$18.99 M,BAAA-U.TO
REM,Purpose Emerging Markets Dividend ETF,$26.16 M,REM.NE
NFLY,Harvest Netflix Enhanced High Income Shares ETF,$26.16 M,NFLY.TO
RPDH,RBC QUANT EUROPEAN Dividend LEADERS ETF,$26.10 M,RPDH.TO
ZHP,BMO US Preferred Share Index ETF,$25.95 M,ZHP.TO
MIVG,Mackenzie Ivy Global Equity ETF,$25.90 M,MIVG.TO
XFLI.U,iShares Flexible Monthly Income ETF,$18.68 M,XFLI-U.TO
YPLT,Palantir (PLTR) Yield Shares Purpose ETF,$25.82 M,YPLT.NE
BNKU,MegaLong (3X) Canadian Banks Daily Leveraged Alternative ETF,$25.81 M,BNKU.TO
ZZZD,BMO Tactical Dividend ETF Fund,$25.69 M,ZZZD.TO
ZMID.U,BMO S&P US Mid Cap Index ETF,$18.52 M,ZMID-U.TO
CQHI,Ninepoint Canadian Natural Resources HighShares ETF,$25.38 M,CQHI.TO
SBLG,SLGI MFS Blended Research Low Vol Global Fund ETF Series,$25.30 M,SBLG.TO
ZXLU,BMO SPDR Utilities Select Sector Index ETF,$25.34 M,ZXLU.TO
FCRI,Franklin International Core Equity Fund ETF Series Units,$25.29 M,FCRI.TO
XQQU.U,iShares NASDAQ 100 Index ETF,$18.17 M,XQQU-U.TO
TKN,Ninepoint Crypto and AI Leaders ETF,$25.04 M,TKN.TO
CALV,Avantis CIBC U.S. Large Cap Value ETF,$25.01 M,CALV.TO
BLOV,Brompton North American Low Volatility Dividend ETF,$24.76 M,BLOV.TO
YCON,Coinbase (COIN) Yield Shares Purpose ETF,$24.74 M,YCON.NE
ABHI,Ninepoint Barrick HighShares ETF,$24.59 M,ABHI.TO
UBIL.V,Global X 0-3 Month U.S. T-Bill ETF,$17.72 M,UBIL-V.TO
LYCT,Lysander-Canso Corporate Treasury ActivETF,$24.49 M,LYCT.TO
SVCC,Global X Silver Miners Covered Call ETF,$24.36 M,SVCC.TO
ORCY,Harvest Oracle Enhanced High Income Shares ETF,$24.27 M,ORCY.TO
ZXLI,BMO SPDR Industrials Select Sector Index ETF,$24.13 M,ZXLI.TO
ICCB,Invesco Canadian Core Plus Bond ETF,$24.12 M,ICCB.TO
ARTI,Evolve Artificial Intelligence Fund,$24.09 M,ARTI.TO
TXF.U,CI Tech Giants Covered Call ETF,$17.34 M,TXF-U.TO
MCKG,Mackenzie Corporate Knights Global 100 Index ETF,$23.91 M,MCKG.NE
TBUF.U,TD Target 2026 U.S. Investment Grade Bond ETF,$17.11 M,TBUF-U.TO
ULV.C,CI Invesco S&P 500 Low Volatility Index ETF,$23.57 M,ULV-C.TO
RUQT.U,RBC Target 2031 U.S. Corporate Bond ETF,$17.08 M,RUQT-U.TO
RQU,RBC Target 2032 Canadian Corporate Bond ETF,$23.61 M,RQU.TO
RUQR.U,RBC Target 2029 U.S. Corporate Bond ETF,$17.06 M,RUQR-U.TO
MCAP,Manulife Conservative ETF Portfolio,$23.59 M,MCAP.TO
MUMC,Manulife Multifactor U.S. Mid Cap Index ETF,$23.56 M,MUMC.TO
BCCL,Global X Enhanced Bitcoin Covered Call ETF,$23.55 M,BCCL.NE
ZXM.B,CI First Asset Morningstar International Momentum Index ETF,$23.50 M,ZXM-B.TO
CGAA,CI Global Asset Allocation Private Pool ETF,$23.48 M,CGAA.TO
ZTL.U,BMO Long-Term US Treasury Bond Index ETF,$16.90 M,ZTL-U.NE
OILU,SavvyLong Geared Crude Oil ETF,$23.32 M,OILU.TO
KNGU,Brompton U.S. Cash Flow Kings ETF,$23.11 M,KNGU.TO
GEDG,Manulife Global Edge ETF,$23.05 M,GEDG.NE
FCII,Franklin ClearBridge Global Infrastructure Income Fund ETF,$23.02 M,FCII.TO
UTIL,Global X Equal Weight Canadian Utilities Index ETF,$22.89 M,UTIL.TO
MGAP,Manulife Growth ETF Portfolio,$22.83 M,MGAP.TO
SPXI,BetaPro S&P 500 Daily Inverse ETF,$22.78 M,SPXI.TO
SMVP,Hamilton Champions U.S. Dividend Index ETF,$22.72 M,SMVP.TO
HUM,Hamilton US Mid-Cap Financials ETF - CAD,$22.48 M,HUM.TO
SUHI,Ninepoint Suncor HighShares ETF,$22.40 M,SUHI.TO
BOND.U,Evolve Enhanced Yield Bond Fund ETF,$16.01 M,BOND-U.TO
GBFC,GuardBonds 2026 Investment Grade Bond Fund,$22.01 M,GBFC.NE
BDAY,Hamilton Enhanced Bitcoin DayMAX ETF,$21.97 M,BDAY.NE
GLDE,Ninepoint Gold and Precious Minerals Fund,$21.96 M,GLDE.TO
DXZ,Dynamic Active U.S. Mid-Cap ETF,$21.92 M,DXZ.TO
SMAX.U,Hamilton U.S. Equity Yield Maximizer ETF,$15.85 M,SMAX-U.TO
ZUAG.U,BMO US Aggregate Bond Index ETF,$15.84 M,ZUAG-U.TO
MIX,Hamilton Enhanced Mixed Asset Allocation ETF,$21.75 M,MIX.TO
MUU,SavvyLong (2X) Micron ETF,$21.69 M,MUU.TO
XEC.U,iShares Core MSCI Emerging Markets IMI Index ETF,$15.65 M,XEC-U.TO
HBLK,Blockchain Technologies ETF,$21.59 M,HBLK.TO
QQEQ,CI NASDAQ 100 Equal Weight Index ETF,$21.45 M,QQEQ.TO
CNDD,BetaPro S&P/TSX 60 -2x Daily Bear ETF - CAD,$21.29 M,CNDD.TO
MINF,Middlefield Global Infrastructure Dividend ETF,$21.22 M,MINF.TO
RSCC,Global X Russell 2000 Covered Call ETF (CA),$21.06 M,RSCC.NE
DXIF,Dynamic Active International ETF,$20.89 M,DXIF.TO
GIGC,Guardian Investment Grade Corporate Bond Fund,$20.79 M,GIGC.TO
XMY,iShares Edge MSCI Min Vol Global Index ETF,$20.77 M,XMY.TO
DXN,Dynamic Active Global Infrastructure ETF,$20.63 M,DXN.TO
RIFI,Russell Investments Fixed Income Pool ETF,$20.62 M,RIFI.TO
AGSL,AGF Global Select Fund - ETF Series,$20.55 M,AGSL.TO
ENHI,Ninepoint Enbridge HighShares ETF,$20.53 M,ENHI.TO
PCON,PIMCO Managed Conservative Bond Pool ETF,$20.52 M,PCON.TO
FINT,First Trust International Capital Strength ETF,$20.52 M,FINT.TO
SOLX.B,CI Galaxy Solana ETF,$20.41 M,SOLX-B.TO
VOLX,BetaPro S&P 500 Vix Short-Term Futures ETF - CAD,$20.40 M,VOLX.TO
ZEQL.U,BMO MSCI USA Equal Weight Index ETF,$14.69 M,ZEQL-U.TO
BCHI,Ninepoint BCE HighShares ETF,$20.19 M,BCHI.TO
XSTP.U,iShares 0-5 Year TIPS Bond Index ETF,$14.59 M,XSTP-U.TO
GRCC,Global X Growth Asset Allocation Covered Call ETF,$19.90 M,GRCC.TO
CHNA.B,CI ICBCUBS S&P China 500 Index ETF,$19.89 M,CHNA-B.TO
HUBL.U,Harvest US Bank Leaders Income ETF,$14.37 M,HUBL-U.TO
BTCX,CI Galaxy Bitcoin ETF,$19.78 M,BTCX.TO
CYBR.B,Evolve Cyber Security Index ETF,$19.70 M,CYBR-B.TO
CWIN,HAMILTON CHAMPIONS Enhanced Canadian Dividend ETF,$19.68 M,CWIN.TO
BUFR,First Trust Vest Fund of Buffer ETFs (Canada) ETF,$19.41 M,BUFR.NE
HLIT,Global X Lithium Producers Index ETF,$19.35 M,HLIT.TO
ORBX,Global X Space Tech Index ETF,$19.34 M,ORBX.TO
AUGB.F,First Trust Vest U.S. Equity Buffer ETF - August,$19.33 M,AUGB-F.TO
TECH.B,Evolve FANGMA Index ETF,$19.30 M,TECH-B.TO
GIUS,Guardian i3 US Quality Growth ETF,$19.29 M,GIUS.TO
FCRC,Franklin Canadian Core Equity Fund ETF Series Units,$19.23 M,FCRC.TO
ETHY.B,Purpose Ether Yield ETF,$19.09 M,ETHY-B.TO
HCLN,Harvest Clean Energy ETF,$18.98 M,HCLN.TO
MPY,Mulvihill Premium Yield Fund - ETF,$18.91 M,MPY.TO
SRIC,Scotia Responsible Investing Canadian EquityIndex ETF,$18.86 M,SRIC.NE
CROP.U,Purpose Credit Opportunities Fund,$13.57 M,CROP-U.TO
CMGG.U,CI Munro Global Growth Equity Fund,$13.57 M,CMGG-U.TO
XRPP.B,Purpose XRP ETF,$18.72 M,XRPP-B.TO
NDIV,NBI Canadian Dividend Income ETF,$18.67 M,NDIV.TO
JEPH,JPMorgan US Equity Premium Income Active (Hedged) ETF,$18.52 M,JEPH.TO
ZMSB,BMO Global Multi-Sector Bond Fund ETF,$18.51 M,ZMSB.TO
XSHU,iShares 1-5 Year U.S. IG Corporate Bond Index ETF,$18.39 M,XSHU.TO
CROC,Purpose Credit Opportunities Class ETF,$18.37 M,CROC.TO
CGRB,CI Global Green Bond Fund,$18.36 M,CGRB.TO
CNCL,Global X Enhanced S&P/TSX 60 Covered Call ETF,$18.29 M,CNCL.TO
QQQL,Global X Enhanced NASDAQ-100 Index ETF,$18.29 M,QQQL.TO
GCSC,Guardian Canadian Sector Controlled Equity Fund,$18.25 M,GCSC.TO
IICE,CI S&P International Developed ESG Index ETF,$18.14 M,IICE.TO
GBFD,GuardBonds 2027 Investment Grade Bond Fund,$18.14 M,GBFD.NE
TSTX.F,Global X 1-3 Year U.S. Treasury Bond Index ETF,$18.12 M,TSTX-F.TO
GDXD,BetaPro Canadian Gold Miners -2x Daily Bear ETF - CAD,$18.05 M,GDXD.TO
CMOM,CI U.S. Enhanced Momentum Index ETF,$17.90 M,CMOM.TO
EQCC,Global X All-Equity Asset Allocation Covered Call ETF,$17.85 M,EQCC.TO
XDG.U,iShares Core MSCI Global Quality Dividend Index ETF,$12.78 M,XDG-U.TO
SOXS,BetaPro -3x Semiconductor Daily Leveraged Bear Alternative ETF,$17.54 M,SOXS.NE
AENP,AGF Enhanced U.S. Income Plus Fund - ETF Series,$17.40 M,AENP.TO
AGCC,Global X Silver Covered Call ETF,$17.39 M,AGCC.TO
ILGB,IA Clarington Loomis Global Multisector Bond Fund ETF,$17.28 M,ILGB.TO
IUAE.F,CI S&P US Dividend Aristocrats ESG Index ETF,$17.21 M,IUAE-F.TO
NTGB,NBI Target 2027 Investment Grade Bond Fund,$17.17 M,NTGB.TO
KNGX,Brompton International Cash Flow Kings ETF,$17.12 M,KNGX.TO
NBBX,NBI Canadian Bond Index Fund - ETF Series,$17.09 M,NBBX.TO
EACL,Global X Enhanced MSCI EAFE Covered Call ETF,$17.01 M,EACL.NE
BASE.B,Evolve Global Materials & Mining Enhanced Yield Index ETF,$16.97 M,BASE-B.TO
HHII,Harvest International High Income Shares ETF,$16.93 M,HHII.TO
LIFE.U,Evolve Global Healthcare Enhanced Yield ETF,$12.11 M,LIFE-U.TO
GBFE,GuardBonds 2028 Investment Grade Bond Fund,$16.63 M,GBFE.NE
YNET,Netflix (NFLX) Yield Shares Purpose ETF,$16.63 M,YNET.NE
FLX,Purpose Global Flexible Credit Fund,$16.61 M,FLX.TO
FINC,Forstrong Global Income ETF,$16.60 M,FINC.TO
HPYM.U,Harvest Premium Yield 7-10 Year Treasury ETF,$11.94 M,HPYM-U.TO
HPYT.U,Harvest Premium Yield Treasury ETF,$11.89 M,HPYT-U.TO
EBIT.U,Evolve Bitcoin ETF,$11.83 M,EBIT-U.TO
SPYU,MegaLong (3X) S&P 500 Daily Leveraged Alternative ETF,$16.34 M,SPYU.TO
MULC,Manulife Multifactor U.S. Large Cap Index ETF,$16.17 M,MULC.TO
PMM,Purpose Multi-Strategy Market Neutral Fund ETF,$16.06 M,PMM.TO
CAGX,Avantis CIBC World Equity ETF,$16.03 M,CAGX.TO
KNGG,Brompton Global Cash Flow Kings ETF,$15.93 M,KNGG.TO
TECX,TD Global Technology Leaders CAD Hedged Index ETF,$15.81 M,TECX.TO
CALL.U,Evolve US Banks Enhanced Yield ETF,$11.41 M,CALL-U.TO
HBIG,Harvest Balanced Income & Growth ETF,$15.70 M,HBIG.TO
CUSA,CI U.S. 500 Index ETF,$15.56 M,CUSA.NE
ZGHC,BMO Global Health Care Fund Active ETF Series,$15.55 M,ZGHC.NE
PAVE,Global X U.S. Infrastructure Development Index ETF,$11.16 M,PAVE.TO
IUMF.F,CI Invesco Russell 1000 Multifactor Index ETF,$15.37 M,IUMF-F.TO
SLVD,BetaPro Silver -2x Daily Bear ETF,$15.38 M,SLVD.TO
HALO,Russell Investments Fallen Angels ETF,$15.37 M,HALO.TO
BCEE,Harvest BCE Enhanced High Income Shares ETF,$15.33 M,BCEE.TO
CTBG,CIBC 2031 Investment Grade Bond Fund,$15.33 M,CTBG.NE
CAMO.B,Evolve Global Defense & Aerospace Index ETF,$15.33 M,CAMO-B.TO
FMPB,Fidelity Global Balanced Portfolio ETF,$15.25 M,FMPB.TO
RUQO.U,RBC Target 2026 U.S. Corporate Bond ETF,$10.97 M,RUQO-U.TO
FGO.U,CI First Asset Enhanced Government Bond ETF,$10.86 M,FGO-U.TO
XDNA,iShares Genomics Immunology and Healthcare Index ETF,$15.01 M,XDNA.TO
CMAR,CI Marret Alternative Absolute Return Bond ETF,$14.99 M,CMAR.TO
LPAY,Global X Long-Term U.S. Treasury Premium Yield ETF,$10.83 M,LPAY.TO
ETP,First Trust Global Risk Managed Income Index ETF,$14.94 M,ETP.TO
CAPQ,Capital Group Global Developed Equity Select ETF,$14.90 M,CAPQ.TO
PBD,Purpose Total Return Bond Fund ETF,$14.87 M,PBD.TO
CMAX,Hamilton Canadian Equity YIELD MAXIMIZER ETF,$14.81 M,CMAX.TO
ZBEU,BMO US Equity Focused ETF,$14.78 M,ZBEU.NE
ZTM.U,BMO Mid-Term US Treasury Bond Index ETF,$10.69 M,ZTM-U.NE
KGHI,Ninepoint Kinross Gold HighShares ETF,$14.78 M,KGHI.TO
IIMF.F,CI Invesco International Developed Dynamic-Multifactor Index ETF,$14.66 M,IIMF-F.TO
QQQU,MegaLong (3X) NASDAQ-100 Daily Leveraged Alternative ETF,$14.67 M,QQQU.TO
DATA,Evolve Cloud Computing Index Fund,$14.67 M,DATA.TO
VIGG,Vanguard Developed ex-North America Dividend Appreciation Index ETF,$14.60 M,VIGG.TO
SPXY,Purpose SpaceX (SPCX) Yield Shares ETF,$14.54 M,SPXY.NE
ZEQL.F,BMO MSCI USA Equal Weight Index ETF,$14.49 M,ZEQL-F.TO
NTGF,NBI Target 2031 Investment Grade Bond Fund ETF Series Units,$14.43 M,NTGF.TO
CINV,CI Global Alpha Innovation ETF,$14.40 M,CINV.TO
HHL.B,Harvest Healthcare Leaders Income ETF,$14.38 M,HHL-B.TO
FTLS,First Trust Long/Short Equity ETF (CA),$14.37 M,FTLS.TO
CGXF.U,CI Gold+ Giants Covered Call ETF,$10.38 M,CGXF-U.TO
DXUS.U,Dynamic Active U.S. Equity ETF,$10.30 M,DXUS-U.TO
GBND,Manulife Smart Global Bond ETF,$14.23 M,GBND.NE
CCBD,CI U.S. Aggregate Bond Covered Call ETF,$14.15 M,CCBD.TO
HERO,Evolve E-Gaming Index ETF,$14.13 M,HERO.TO
IBIT.U,iShares Bitcoin ETF,$10.14 M,IBIT-U.NE
NVDU,SavvyLong (2X) NVDA ETF,$13.90 M,NVDU.TO
ESPX.U,Evolve S&P 500 Enhanced Yield Fund,$10.03 M,ESPX-U.TO
MNXT,Mackenzie Bluewater Next Gen Growth ETF,$13.86 M,MNXT.TO
ZSML.U,BMO S&P US Small Cap Index ETF,$10.01 M,ZSML-U.TO
ZGSB,BMO Global Strategic Bond Fund ETF,$13.82 M,ZGSB.TO
EQLI.F,Invesco S&P 500 Equal Weight Income Advantage ETF (CA),$13.68 M,EQLI-F.TO
CARS,Evolve Automobile Innovation Index ETF,$13.61 M,CARS.TO
INAI.F,CI Morningstar Global Next Gen AI Index ETF,$13.47 M,INAI-F.TO
JPQH,JPMorgan Nasdaq Equity Premium Income Active (Hedged) ETF,$13.40 M,JPQH.TO
IIAE.F,CI S&P International Developed Dividend Aristocrats ESG Index ETF,$13.35 M,IIAE-F.TO
TSPX,BetaPro 3x S&P 500 Daily Leveraged Bull Alternative ETF,$13.39 M,TSPX.TO
ZXCQ,BMO Target 2029 Canadian Corporate Bond ETF,$13.36 M,ZXCQ.TO
CCNV,CI Conservative Asset Allocation ETF,$13.27 M,CCNV.TO
YMAG,Tech Innovators Yield Shares Purpose ETF,$13.23 M,YMAG.NE
DXID.U,Dynamic Active Innovation and Disruption ETF,$9.56 M,DXID-U.TO
CAPN,Capital Group International Developed Equity Select ETF,$13.11 M,CAPN.TO
CONY,Harvest Coinbase High Income Shares ETF,$12.98 M,CONY.TO
BNKL,Global X Enhanced Equal Weight Banks Index ETF,$12.98 M,BNKL.TO
ZXLK.F,BMO SPDR Technology Select Sector Index ETF,$12.94 M,ZXLK-F.TO
CAPU,Capital Group U.S. Equity Select ETF,$12.92 M,CAPU.TO
CFRT,CI Floating Rate Income Fund ETF,$12.90 M,CFRT.TO
USSL,Global X Enhanced S&P 500 Index ETF,$12.80 M,USSL.TO
MBQG,Mackenzie GQE Global Balanced ETF,$12.77 M,MBQG.TO
CALL.B,Evolve US Banks Enhanced Yield ETF,$12.74 M,CALL-B.TO
ENBE,Harvest Enbridge Enhanced High Income Shares ETF,$12.71 M,ENBE.TO
