Ticker,Description,fLK+lF,Yahoo_Ticker
ZDI,BMO International Dividend ETF,$947.34 M,ZDI.TO
HPR,Global X Active Preferred Share ETF,$944.45 M,HPR.TO
CBO,iShares 1-5 Year Laddered Corporate Bond Index ETF,$937.00 M,CBO.TO
TQGD,TD Q Global Dividend ETF,$935.37 M,TQGD.TO
BTCC.B,Purpose Bitcoin ETF,$933.47 M,BTCC-B.TO
RUD,RBC Quant U.S. Dividend Leaders ETF,$929.70 M,RUD.TO
NSDC,NBI SmartData Canadian Equity Fund ETF Series Units,$925.44 M,NSDC.TO
TCSB,TD Select Short Term Corporate Bond Ladder ETF,$917.93 M,TCSB.TO
RING,Global X Equal Weight Canadian Telecommunications Index ETF,$916.24 M,RING.TO
MKB,Mackenzie Core Plus Canadian Fixed Income ETF,$915.02 M,MKB.TO
ZDY,BMO US Dividend ETF,$902.25 M,ZDY.TO
DXDB,Dynamic Active Discount Bond ETF,$892.18 M,DXDB.TO
VVL,Vanguard Global Value Factor ETF,$890.02 M,VVL.TO
TERM,Manulife Smart Short Term Bond ETF,$889.84 M,TERM.TO
XUT,iShares S&P/TSX Capped Utilities Index ETF,$889.55 M,XUT.TO
HTA,Harvest Tech Leaders Income ETF,$887.85 M,HTA.TO
XMD,iShares S&P/TSX Completion Index ETF,$883.79 M,XMD.TO
DXG,Dynamic Active Global Dividend ETF,$877.01 M,DXG.TO
ZAAA.F,BMO AAA CLO ETF,$868.84 M,ZAAA-F.NE
XMC,iShares S&P U.S. Mid-Cap Index ETF,$867.62 M,XMC.TO
RQP,RBC Target 2027 Canadian Corporate Bond Index ETF,$865.53 M,RQP.TO
VCB,Vanguard Canadian Corporate Bond Index ETF,$864.91 M,VCB.TO
VDU,Vanguard FTSE Developed All Cap ex U.S. Index ETF,$852.81 M,VDU.TO
USSX,Global X S&P 500 Index ETF,$610.75 M,USSX.TO
TXF,CI Tech Giants Covered Call ETF,$838.24 M,TXF.TO
BTCX.B,CI Galaxy Bitcoin ETF,$836.36 M,BTCX-B.TO
DXQ,Dynamic Active Enhanced Yield Covered Options ETF,$835.45 M,DXQ.TO
ZMP,BMO Mid Provincial Bond Index ETF,$832.55 M,ZMP.TO
UBIL.U,Global X 0-3 Month U.S. T-Bill ETF,$598.49 M,UBIL-U.TO
HISA,High Interest Savings Account Fund,$825.80 M,HISA.NE
XFR,iShares Floating Rate Index ETF,$816.39 M,XFR.TO
HULC,Global X US Large Cap Index Corporate Class ETF,$816.20 M,HULC.TO
FCAB,Fidelity Absolute Income Fund ETF,$811.72 M,FCAB.TO
ZGRO,BMO Growth ETF,$809.39 M,ZGRO.TO
ZUT,BMO Equal Weight Utilities Index ETF,$805.63 M,ZUT.TO
CGL.C,iShares Gold Bullion ETF,$799.25 M,CGL-C.TO
CCEI,CIBC MSCI Canada Equity Index ETF,$798.95 M,CCEI.TO
ZBK,BMO Equal Weight U.S. Banks Index ETF,$795.64 M,ZBK.TO
ENCC,Global X Canadian Oil and Gas Equity Covered Call ETF,$786.24 M,ENCC.TO
RQQ,RBC Target 2028 Canadian Corporate Bond Index ETF,$785.62 M,RQQ.TO
XDG,iShares Core MSCI Global Quality Dividend Index ETF,$785.51 M,XDG.TO
CGBI,CIBC Global Bond ex-Canada Index ETF,$781.15 M,CGBI.TO
MGQE,Mackenzie GQE Global Equity ETF,$780.72 M,MGQE.TO
ZWE,BMO Europe High Dividend Covered Call Hedged to CAD ETF,$774.80 M,ZWE.TO
ZEF,BMO Emerging Markets Bond Hedged to CAD Index ETF,$772.86 M,ZEF.TO
XMA,iShares S&P/TSX Capped Materials Index ETF,$764.10 M,XMA.TO
CLF,iShares 1-5 Year Laddered Government Bond Index ETF,$760.16 M,CLF.TO
BSKT,Manulife Smart Core Bond ETF,$756.75 M,BSKT.TO
HBNK,Global X Equal Weight Canadian Banks Index ETF,$749.54 M,HBNK.TO
VXM.B,CI First Asset Morningstar International Value Index ETF,$747.51 M,VXM-B.TO
FGO,CI First Asset Enhanced Government Bond ETF,$747.22 M,FGO.TO
SPLT,Brompton Split Corp. Preferred Share ETF,$736.80 M,SPLT.TO
SITC,Scotia Canadian Large Cap Equity Index Tracker ETF,$732.30 M,SITC.NE
CQLC,CIBC Qx Canadian Low Volatility Dividend ETF,$730.85 M,CQLC.NE
ZJPN,BMO Japan Index ETF,$727.47 M,ZJPN.TO
XSUS,iShares ESG MSCI USA Index ETF,$726.28 M,XSUS.TO
MEME.B,Manulife Multifactor Emerging Markets Index ETF,$721.00 M,MEME-B.TO
CAGG,CI Canadian Aggregate Bond Index ETF,$717.62 M,CAGG.TO
XLB,iShares Core Canadian Long Term Bond Index ETF,$715.56 M,XLB.TO
XIT,iShares S&P/TSX Capped Information Technology Index ETF,$712.32 M,XIT.TO
QQCC,Global X Nasdaq-100 Covered Call ETF,$708.38 M,QQCC.TO
ZFM,BMO Mid Federal Bond Index ETF,$704.50 M,ZFM.TO
XEU,iShares MSCI Europe IMI Index ETF,$694.30 M,XEU.TO
PFMN,PICTON Market Neutral Equity Alternative Fund ETF,$683.80 M,PFMN.TO
CQLI,CIBC Qx International Low Volatility Dividend ETF,$682.26 M,CQLI.NE
XSU,iShares U.S. Small Cap Index ETF,$679.32 M,XSU.TO
VE,Vanguard FTSE Developed Europe All Cap Index ETF,$678.69 M,VE.TO
ZBAL,BMO Balanced ETF,$668.63 M,ZBAL.TO
VGAB,Vanguard Global Aggregate Bond Index ETF,$666.73 M,VGAB.TO
GLCC,Global X Gold Producer Equity Covered Call ETF,$665.30 M,GLCC.TO
HFR,Global X Active Ultra-Short Term Investment Grade Bond ETF,$664.16 M,HFR.TO
ZST.L,BMO Ultra Short-Term Bond ETF,$660.86 M,ZST-L.TO
ZCOM,BMO Broad Commodity ETF,$658.98 M,ZCOM.NE
TUED,TD Active U.S. Enhanced Dividend ETF,$658.15 M,TUED.TO
JAPN.B,CI Japan Equity Index ETF,$657.91 M,JAPN-B.TO
RPF,RBC Canadian Preferred Share ETF,$656.79 M,RPF.TO
