TICKER,PORTFOLIO_MWEIGHT,POSITION,SECURITY_NAME,GICS_SECTOR_NAME,GICS_SECTOR_NAME_FR,COUNTRY,COUNTRY_FR,LAST_PRICE,VALUE,BTC Per Share,Shares Per BTC
"DDOG US 09/18/26 C245 EQUITY",-5.62E-06,-0.069379078,"Datadog Inc - CALL Option",Technology,Technologie,"United States",États-Unis,0.7600,-7.374004892,,
"FTNT US 09/18/26 C162.5 EQUITY",-1.97E-04,-0.168492047,"Fortinet Inc - CALL Option",Technology,Technologie,"United States",États-Unis,10.9800,-258.7443168,,
"TXN US EQUITY",1.28E-02,46.49389375,"Texas Instruments Inc",Technology,Technologie,"United States",États-Unis,258.1400,16789.50512,,
"ADBE US EQUITY",5.92E-03,21.99316782,"Adobe Inc",Technology,Technologie,"United States",États-Unis,252.6700,7773.706484,,
"ADI US EQUITY",9.81E-03,25.37292006,"Analog Devices Inc",Technology,Technologie,"United States",États-Unis,362.6500,12871.96363,,
"ADSK US EQUITY",0.002673102,11.46737051,"Autodesk Inc",Technology,Technologie,"United States",États-Unis,218.6400,3507.358306,,
"FTNT US EQUITY",0.007199796,39.12980015,"Fortinet Inc",Technology,Technologie,"United States",États-Unis,172.5800,9446.800995,,
"TRI US EQUITY",2.22E-03,20.97230423,"Thomson Reuters Corp",Technology,Technologie,Canada,Canada,99.4800,2918.559775,,
"MRVL US EQUITY",1.07E-02,41.73647123,"Marvell Technology Inc",Technology,Technologie,"United States",États-Unis,240.7600,14056.80862,,
"STX US EQUITY",1.05E-02,12.27018556,"Seagate Technology Holdings PLC",Technology,Technologie,"United States",États-Unis,803.1300,13785.53573,,
"DDOG US EQUITY",0.004583636,18.2169637,"Datadog Inc",Technology,Technologie,"United States",États-Unis,236.0000,6014.155729,,
"KLAC US EQUITY",1.17E-02,64.68112355,"KLA Corp",Technology,Technologie,"United States",États-Unis,168.9800,15289.71994,,
"SHOP US EQUITY",8.99E-03,65.57314027,"Shopify Inc",Technology,Technologie,Canada,Canada,128.6000,11796.51219,,
"ASML US EQUITY",8.49E-03,4.88626937,"ASML Holding NV",Technology,Technologie,Netherlands,Pays-Bas,"1,629.6700",11139.4499,,
"PDD US EQUITY",3.03E-03,36.59250814,"PDD Holdings Inc",Technology,Technologie,Ireland,Irlande,77.7300,3978.941183,,
