Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"PNC","PNC FINANCIAL SERVICES GROUP","Financials","Equity","587,995.43","0.17","587,995.43","1,812.00","324.50","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"PWR","QUANTA SERVICES INC","Industrials","Equity","587,242.42","0.17","587,242.42","681.00","862.32","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"BX","BLACKSTONE","Financials","Equity","587,079.52","0.17","587,079.52","3,347.00","175.40","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","583,987.02","0.17","583,987.02","1,729.00","337.76","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"DUK","DUKE ENERGY CORP","Utilities","Equity","581,280.67","0.17","581,280.67","3,506.00","165.79","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","570,713.68","0.17","570,713.68","985.00","579.40","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","568,046.24","0.17","568,046.24","1,141.00","497.85","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"HWM","HOWMET AEROSPACE","Industrials","Equity","568,050.84","0.17","568,050.84","1,799.00","315.76","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"CSX","CSX","Industrials","Equity","561,889.87","0.16","561,889.87","8,387.00","66.99","United States","NASDAQ","CAD","0.71","USD"
"HOOD","ROBINHOOD MARKETS CLASS A","Financials","Equity","553,830.24","0.16","553,830.24","3,606.00","153.58","United States","NASDAQ","CAD","0.71","USD"
"WMB","WILLIAMS","Energy","Equity","552,805.56","0.16","552,805.56","5,504.00","100.44","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"APP","APPLOVIN CLASS A","Communication","Equity","551,911.77","0.16","551,911.77","1,227.00","449.80","United States","NASDAQ","CAD","0.71","USD"
"INTU","INTUIT","Information Technology","Equity","549,200.93","0.16","549,200.93","1,254.00","437.96","United States","NASDAQ","CAD","0.71","USD"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","547,182.09","0.16","547,182.09","2,552.00","214.41","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","544,332.96","0.16","544,332.96","2,759.00","197.29","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"MMM","3M","Industrials","Equity","542,755.59","0.16","542,755.59","2,356.00","230.37","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","538,115.48","0.16","538,115.48","1,464.00","367.56","United States","NASDAQ","CAD","0.71","USD"
"MRSH","MARSH","Financials","Equity","535,722.84","0.16","535,722.84","2,194.00","244.17","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"EMR","EMERSON ELECTRIC","Industrials","Equity","527,153.70","0.15","527,153.70","2,557.00","206.16","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"CMCSA","COMCAST CLASS A","Communication","Equity","520,251.31","0.15","520,251.31","16,236.00","32.04","United States","NASDAQ","CAD","0.71","USD"
"HPE","HEWLETT PACKARD ENTERPRISE","Information Technology","Equity","520,181.32","0.15","520,181.32","6,093.00","85.37","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"TRV","TRAVELERS COMPANIES","Financials","Equity","519,627.44","0.15","519,627.44","979.00","530.77","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"AMT","AMERICAN TOWER REIT","Real Estate","Equity","512,760.53","0.15","512,760.53","2,088.00","245.57","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","504,550.44","0.15","504,550.44","1,691.00","298.37","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","501,370.04","0.15","501,370.04","5,778.00","86.77","United States","NASDAQ","CAD","0.71","USD"
"REGN","REGENERON PHARMACEUTICALS","Health Care","Equity","495,769.74","0.14","495,769.74","449.00","1,104.16","United States","NASDAQ","CAD","0.71","USD"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","494,461.94","0.14","494,461.94","1,498.00","330.08","United States","NASDAQ","CAD","0.71","USD"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","492,600.22","0.14","492,600.22","4,066.00","121.15","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"SLB","SLB","Energy","Equity","491,317.21","0.14","491,317.21","6,745.00","72.84","United States","New York Stock Exchange Inc.","CAD","0.71","USD"
"TMUS","T MOBILE US INC","Communication","Equity","488,425.50","0.14","488,425.50","2,098.00","232.80","United States","NASDAQ","CAD","0.71","USD"
