Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"DELTA.R","DELTA ELECTRONICS (THAILAND) NON-V","Information Technology","Equity","7,684,234.23","0.16","7,684,234.23","763,900.00","10.06","Thailand","Stock Exchange Of Thailand","CAD","23.86","THB"
"2884","E.SUN FINANCIAL HOLDING","Financials","Equity","7,649,283.39","0.16","7,649,283.39","3,686,404.00","2.07","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"2059","KING SLIDE WORKS","Information Technology","Equity","7,551,152.65","0.16","7,551,152.65","14,000.00","539.37","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"1288","AGRICULTURAL BANK OF CHINA LTD H","Financials","Equity","7,438,283.35","0.15","7,438,283.35","6,602,000.00","1.13","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"6160","BEONE MEDICINES AG","Health Care","Equity","7,293,573.84","0.15","7,293,573.84","193,900.00","37.62","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"MTN","MTN GROUP","Communication","Equity","7,287,511.74","0.15","7,287,511.74","427,908.00","17.03","South Africa","Johannesburg Stock Exchange","CAD","11.63","ZAR"
"028260","SAMSUNG C&T CORP","Industrials","Equity","7,161,854.82","0.15","7,161,854.82","19,901.00","359.87","Korea (South)","Korea Exchange (Stock Market)","CAD","987.85","KRW"
"EAND","EMIRATES TELECOM","Communication","Equity","7,146,810.42","0.15","7,146,810.42","854,622.00","8.36","United Arab Emirates","Abu Dhabi Securities Exchange","CAD","2.63","AED"
"000270","KIA CORPORATION","Consumer Discretionary","Equity","7,028,595.71","0.15","7,028,595.71","57,429.00","122.39","Korea (South)","Korea Exchange (Stock Market)","CAD","987.85","KRW"
"6669","WIWYNN CORPORATION","Information Technology","Equity","6,984,139.09","0.14","6,984,139.09","74,569.00","93.66","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"5274","ASPEED TECHNOLOGY","Information Technology","Equity","6,974,825.06","0.14","6,974,825.06","8,700.00","801.70","Taiwan","Gretai Securities Market","CAD","22.80","TWD"
"035420","NAVER","Communication","Equity","6,973,744.92","0.14","6,973,744.92","34,618.00","201.45","Korea (South)","Korea Exchange (Stock Market)","CAD","987.85","KRW"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Consumer Staples","Equity","6,857,145.90","0.14","6,857,145.90","408,107.00","16.80","Mexico","Bolsa Mexicana De Valores","CAD","12.29","MXN"
"2408","NANYA TECHNOLOGY CORP","Information Technology","Equity","6,743,526.32","0.14","6,743,526.32","315,000.00","21.41","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"QNBK","QATAR NATIONAL BANK","Financials","Equity","6,708,163.11","0.14","6,708,163.11","1,077,954.00","6.22","Qatar","Qatar Exchange","CAD","2.60","QAR"
"2357","ASUSTEK COMPUTER INC","Information Technology","Equity","6,695,621.49","0.14","6,695,621.49","161,000.00","41.59","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"EMAAR","EMAAR PROPERTIES","Real Estate","Equity","6,691,417.76","0.14","6,691,417.76","1,489,122.00","4.49","United Arab Emirates","Dubai Financial Market","CAD","2.63","AED"
"068270","CELLTRION","Health Care","Equity","6,653,892.05","0.14","6,653,892.05","36,456.00","182.52","Korea (South)","Korea Exchange (Stock Market)","CAD","987.85","KRW"
"BBDC4","BANCO BRADESCO PREF","Financials","Equity","6,623,571.77","0.14","6,623,571.77","1,345,575.00","4.92","Brazil","XBSP","CAD","3.69","BRL"
"SBIN","STATE BANK OF INDIA","Financials","Equity","6,538,560.82","0.14","6,538,560.82","453,625.00","14.41","India","National Stock Exchange Of India","CAD","68.59","INR"
"1211","SAUDI ARABIAN MINING","Materials","Equity","6,481,711.59","0.13","6,481,711.59","280,784.00","23.08","Saudi Arabia","Saudi Stock Exchange","CAD","2.69","SAR"
"1088","CHINA SHENHUA ENERGY LTD H","Energy","Equity","6,481,454.25","0.13","6,481,454.25","813,000.00","7.97","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"2886","MEGA FINANCIAL HOLDING LTD","Financials","Equity","6,458,636.10","0.13","6,458,636.10","2,836,722.00","2.28","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"2883","KGI FINANCIAL HOLDING","Financials","Equity","6,395,084.04","0.13","6,395,084.04","3,676,600.00","1.74","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","6,391,085.16","0.13","6,391,085.16","200,175.00","31.93","India","National Stock Exchange Of India","CAD","68.59","INR"
"SCCO","SOUTHERN COPPER CORP","Materials","Equity","6,208,537.21","0.13","6,208,537.21","22,635.00","274.29","Peru","New York Stock Exchange Inc.","CAD","0.71","USD"
"TITAN","TITAN COMPANY LTD","Consumer Discretionary","Equity","6,166,277.16","0.13","6,166,277.16","87,371.00","70.58","India","National Stock Exchange Of India","CAD","68.59","INR"
"2890","SINOPAC FINANCIAL HOLDINGS","Financials","Equity","6,084,098.76","0.13","6,084,098.76","3,018,242.00","2.02","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"3008","LARGAN PRECISION LTD","Information Technology","Equity","6,074,087.01","0.13","6,074,087.01","23,000.00","264.09","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"1801","INNOVENT BIOLOGICS","Health Care","Equity","6,042,108.64","0.13","6,042,108.64","352,500.00","17.14","China","Hong Kong Exchanges And Clearing Ltd","CAD","5.61","HKD"
"3443","GLOBAL UNICHIP","Information Technology","Equity","5,988,103.98","0.12","5,988,103.98","21,000.00","285.15","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"3231","WISTRON","Information Technology","Equity","5,947,985.87","0.12","5,947,985.87","727,000.00","8.18","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"BBCA","BANK CENTRAL ASIA","Financials","Equity","5,941,594.89","0.12","5,941,594.89","11,867,900.00","0.50","Indonesia","Indonesia Stock Exchange","CAD","12,683.66","IDR"
"SUNPHARMA","SUN PHARMACEUTICAL INDUSTRIES LTD","Health Care","Equity","5,900,269.04","0.12","5,900,269.04","216,739.00","27.22","India","National Stock Exchange Of India","CAD","68.59","INR"
"2412","CHUNGHWA TELECOM LTD","Communication","Equity","5,820,305.46","0.12","5,820,305.46","915,000.00","6.36","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"AMXB","AMERICA MOVIL B","Communication","Equity","5,819,999.90","0.12","5,819,999.90","3,620,774.00","1.61","Mexico","Bolsa Mexicana De Valores","CAD","12.29","MXN"
"B3SA3","B3 BRASIL BOLSA BALCAO SA","Financials","Equity","5,797,624.41","0.12","5,797,624.41","1,214,590.00","4.77","Brazil","XBSP","CAD","3.69","BRL"
"2301","LITE ON TECHNOLOGY","Information Technology","Equity","5,780,691.85","0.12","5,780,691.85","474,000.00","12.20","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"316140","WOORI FINANCIAL GROUP INC","Financials","Equity","5,748,056.40","0.12","5,748,056.40","156,424.00","36.75","Korea (South)","Korea Exchange (Stock Market)","CAD","987.85","KRW"
"PBBANK","PUBLIC BANK","Financials","Equity","5,738,675.62","0.12","5,738,675.62","3,503,800.00","1.64","Malaysia","Bursa Malaysia","CAD","2.93","MYR"
"2344","WINBOND ELECTRONICS","Information Technology","Equity","5,725,993.92","0.12","5,725,993.92","767,795.00","7.46","Taiwan","Taiwan Stock Exchange","CAD","22.80","TWD"
"KRW","KRW CASH","Cash and/or Derivatives","Cash","5,705,799.77","0.12","5,705,799.77","5,636,448,186.00","0.10","Korea (South)","-","CAD","987.85","KRW"
"ETE","NATIONAL BANK OF GREECE","Financials","Equity","5,689,086.37","0.12","5,689,086.37","203,407.00","27.97","Greece","Athens Exchange S.A. Cash Market","CAD","0.62","EUR"
