Fund Holdings as of,"Sep 17, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"ANZ","ANZ GROUP HOLDINGS LTD","Financials","Equity","63,114.42","0.20","63,114.42","1,679.00","37.58","Australia","Asx - All Markets","CAD","-","AUD"
"O39","OVERSEA-CHINESE BANKING LTD","Financials","Equity","62,516.02","0.20","62,516.02","1,823.00","34.30","Singapore","Singapore Exchange","CAD","-","SGD"
"7011","MITSUBISHI HEAVY INDUSTRIES","Industrials","Equity","62,294.54","0.20","62,294.54","1,784.00","34.91","Japan","Tokyo Stock Exchange","CAD","-","JPY"
"BA.","BAE SYSTEMS PLC","Industrials","Equity","62,247.88","0.20","62,247.88","1,632.00","38.15","United Kingdom","London Stock Exchange","CAD","-","GBP"
"9983","FAST RETAILING","Consumer Discretionary","Equity","61,956.74","0.20","61,956.74","102.00","607.97","Japan","Tokyo Stock Exchange","CAD","-","JPY"
"8031","MITSUI","Industrials","Equity","61,736.49","0.20","61,736.49","1,316.00","46.91","Japan","Tokyo Stock Exchange","CAD","-","JPY"
"ENEL","ENEL","Utilities","Equity","61,728.45","0.20","61,728.45","4,245.00","14.54","Italy","Borsa Italiana","CAD","-","EUR"
"SPOT","SPOTIFY TECHNOLOGY","Communication","Equity","60,470.51","0.20","60,470.51","82.00","739.66","Sweden","New York Stock Exchange Inc.","CAD","-","USD"
"6981","MURATA MANUFACTURING","Information Technology","Equity","60,178.78","0.20","60,178.78","902.00","66.73","Japan","Tokyo Stock Exchange","CAD","-","JPY"
"NG.","NATIONAL GRID PLC","Utilities","Equity","59,889.07","0.19","59,889.07","2,770.00","21.62","United Kingdom","London Stock Exchange","CAD","-","GBP"
"NWG","NATWEST GROUP PLC","Financials","Equity","59,027.06","0.19","59,027.06","4,435.00","13.31","United Kingdom","London Stock Exchange","CAD","-","GBP"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","57,596.85","0.19","57,596.85","3,177.00","18.13","India","National Stock Exchange Of India","CAD","-","INR"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Financials","Equity","56,938.57","0.18","56,938.57","69.00","820.27","Germany","Xetra","CAD","-","EUR"
"GLEN","GLENCORE PLC","Materials","Equity","56,659.55","0.18","56,659.55","5,227.00","10.84","United Kingdom","London Stock Exchange","CAD","-","GBP"
"INVE B","INVESTOR CLASS B","Financials","Equity","55,774.50","0.18","55,774.50","964.00","57.87","Sweden","Nasdaq Omx Nordic","CAD","-","SEK"
"ICICIBANK","ICICI BANK","Financials","Equity","55,302.45","0.18","55,302.45","2,814.00","19.65","India","National Stock Exchange Of India","CAD","-","INR"
"ABI","ANHEUSER-BUSCH INBEV SA","Consumer Staples","Equity","55,207.46","0.18","55,207.46","500.00","110.33","Belgium","Nyse Euronext - Euronext Brussels","CAD","-","EUR"
"DBK","DEUTSCHE BANK AG","Financials","Equity","52,678.76","0.17","52,678.76","958.00","55.01","Germany","Xetra","CAD","-","EUR"
"402340","SK SQUARE","Industrials","Equity","52,515.49","0.17","52,515.49","51.00","1,020.40","Korea (South)","Korea Exchange (Stock Market)","CAD","-","KRW"
"ITX","INDUSTRIA DE DISENO TEXTIL SA","Consumer Discretionary","Equity","51,128.79","0.17","51,128.79","607.00","84.18","Spain","Bolsa De Madrid","CAD","-","EUR"
"3711","ASE TECHNOLOGY HOLDING","Information Technology","Equity","50,192.61","0.16","50,192.61","1,863.00","26.94","Taiwan","Taiwan Stock Exchange","CAD","-","TWD"
"6752","PANASONIC HOLDINGS","Consumer Discretionary","Equity","49,818.46","0.16","49,818.46","1,302.00","38.27","Japan","Tokyo Stock Exchange","CAD","-","JPY"
"6503","MITSUBISHI ELECTRIC","Industrials","Equity","49,250.90","0.16","49,250.90","1,062.00","46.37","Japan","Tokyo Stock Exchange","CAD","-","JPY"
"NDA FI","NORDEA BANK","Financials","Equity","48,952.46","0.16","48,952.46","1,705.00","28.71","Finland","Nasdaq Omx Helsinki Ltd.","CAD","-","EUR"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","48,620.47","0.16","48,620.47","36,284.00","1.34","China","Hong Kong Exchanges And Clearing Ltd","CAD","-","HKD"
